time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
8.315000000017525e-002	3.054639e+000	4.990021e-005
8.355000000017610e-002	3.073146e+000	5.011785e-005
8.395000000017694e-002	3.091510e+000	5.033517e-005
8.435000000017778e-002	3.109699e+000	5.055218e-005
8.475000000017863e-002	3.127676e+000	5.076887e-005
8.515000000017947e-002	3.145402e+000	5.098524e-005
8.555000000018032e-002	3.162833e+000	5.120128e-005
8.595000000018116e-002	3.179921e+000	5.141701e-005
8.645000000018221e-002	3.200722e+000	5.168620e-005
8.695000000018327e-002	3.220807e+000	5.195489e-005
8.745000000018433e-002	3.240070e+000	5.222306e-005
8.805000000018559e-002	3.261956e+000	5.254419e-005
8.875000000018707e-002	3.285585e+000	5.291789e-005
8.955000000018876e-002	3.309818e+000	5.334373e-005
9.125000000019234e-002	3.350830e+000	5.424415e-005
9.205000000019403e-002	3.365316e+000	5.466574e-005
9.265000000019530e-002	3.374361e+000	5.498102e-005
9.315000000019635e-002	3.380828e+000	5.524317e-005
9.365000000019741e-002	3.386424e+000	5.550476e-005
9.415000000019846e-002	3.391249e+000	5.576581e-005
9.455000000019931e-002	3.394617e+000	5.597425e-005
9.495000000020015e-002	3.397599e+000	5.618235e-005
9.535000000020100e-002	3.400239e+000	5.639008e-005
9.575000000020184e-002	3.402578e+000	5.659746e-005
9.615000000020268e-002	3.404653e+000	5.680448e-005
9.655000000020353e-002	3.406498e+000	5.701114e-005
9.695000000020437e-002	3.408143e+000	5.721744e-005
9.735000000020522e-002	3.409614e+000	5.742339e-005
9.775000000020606e-002	3.410937e+000	5.762896e-005
9.815000000020691e-002	3.412130e+000	5.783418e-005
9.865000000020796e-002	3.413469e+000	5.809018e-005
9.915000000020902e-002	3.414665e+000	5.834561e-005
9.965000000021007e-002	3.415743e+000	5.860047e-005
1.001500000002111e-001	3.416725e+000	5.885474e-005
1.007500000002124e-001	3.417800e+000	5.915911e-005
1.013500000002137e-001	3.418784e+000	5.946263e-005
1.020500000002151e-001	3.419843e+000	5.981567e-005
1.028500000002168e-001	3.420964e+000	6.021773e-005
1.038500000002189e-001	3.422267e+000	6.071816e-005
1.050500000002215e-001	3.423730e+000	6.131552e-005
1.066500000002248e-001	3.425567e+000	6.210656e-005
1.090500000002299e-001	3.428172e+000	6.328134e-005
1.137500000002398e-001	3.432957e+000	6.554001e-005
1.195500000002521e-001	3.438440e+000	6.824832e-005
1.322500000002789e-001	3.449089e+000	7.385729e-005
1.467500000003095e-001	3.459287e+000	7.968463e-005
1.495500000003154e-001	3.461043e+000	8.073518e-005
1.662500000003506e-001	3.470235e+000	8.647134e-005
1.795500000003787e-001	3.476127e+000	9.036195e-005
2.008500000004236e-001	3.483222e+000	9.526932e-005
2.095500000004420e-001	3.485354e+000	9.678760e-005
2.319500000004893e-001	3.488935e+000	9.935757e-005
2.395500000005053e-001	3.489546e+000	9.978451e-005
2.620500000005528e-001	3.489605e+000	9.971351e-005
2.695500000005686e-001	3.489044e+000	9.924651e-005
2.920500000006161e-001	3.485592e+000	9.652996e-005
2.995500000006319e-001	3.483835e+000	9.519263e-005
3.220500000006794e-001	3.476634e+000	8.992678e-005
3.295500000006952e-001	3.473552e+000	8.776652e-005
3.483500000007349e-001	3.464176e+000	8.150670e-005
3.595500000007585e-001	3.457361e+000	7.723123e-005
3.750500000007913e-001	3.446199e+000	7.068845e-005
3.889500000008206e-001	3.434218e+000	6.424933e-005
3.895500000008219e-001	3.433653e+000	6.396000e-005
4.019500000008480e-001	3.421004e+000	5.778291e-005
4.131500000008717e-001	3.407752e+000	5.190119e-005
4.195500000008852e-001	3.399263e+000	4.842294e-005
4.290500000009052e-001	3.385214e+000	4.311726e-005
4.376500000009234e-001	3.370730e+000	3.818125e-005
4.454500000009398e-001	3.355836e+000	3.360763e-005
4.495500000009485e-001	3.347215e+000	3.117048e-005
4.563500000009628e-001	3.331496e+000	2.708356e-005
4.625500000009759e-001	3.315345e+000	2.331399e-005
4.682500000009879e-001	3.298643e+000	1.981706e-005
4.735500000009991e-001	3.281188e+000	1.654263e-005
4.785500000010097e-001	3.262671e+000	1.343667e-005
4.795500000010118e-001	3.258694e+000	1.281379e-005
4.841500000010215e-001	3.239055e+000	9.942394e-006
4.885500000010308e-001	3.217908e+000	7.188042e-006
4.927500000010396e-001	3.195151e+000	4.553734e-006
4.968500000010483e-001	3.170050e+000	1.979074e-006
5.008500000010567e-001	3.142303e+000	-5.340681e-007
5.043500000010641e-001	3.114927e+000	-2.732845e-006
5.073500000010704e-001	3.088813e+000	-4.616500e-006
5.095500000010751e-001	3.067922e+000	-5.996842e-006
5.119500000010802e-001	3.043287e+000	-7.501353e-006
5.141500000010848e-001	3.018870e+000	-8.878998e-006
5.161500000010890e-001	2.995036e+000	-1.012994e-005
5.180500000010930e-001	2.970853e+000	-1.131685e-005
5.198500000010968e-001	2.946482e+000	-1.243981e-005
5.215500000011004e-001	2.922096e+000	-1.349893e-005
5.231500000011038e-001	2.897877e+000	-1.449434e-005
5.246500000011070e-001	2.874017e+000	-1.542620e-005
5.261500000011101e-001	2.849005e+000	-1.635670e-005
5.276500000011133e-001	2.822808e+000	-1.728575e-005
5.290500000011162e-001	2.797265e+000	-1.815147e-005
5.304500000011192e-001	2.770645e+000	-1.901579e-005
5.319500000011224e-001	2.740909e+000	-1.994021e-005
5.334500000011255e-001	2.709896e+000	-2.086286e-005
5.349500000011287e-001	2.677589e+000	-2.178366e-005
5.365500000011321e-001	2.641687e+000	-2.276371e-005
5.382500000011357e-001	2.601897e+000	-2.380249e-005
5.395500000011384e-001	2.570317e+000	-2.459503e-005
5.415500000011426e-001	2.519774e+000	-2.581109e-005
5.438500000011475e-001	2.458703e+000	-2.720451e-005
5.465500000011532e-001	2.382979e+000	-2.883299e-005
5.501500000011608e-001	2.275244e+000	-3.099132e-005
5.556500000011724e-001	2.095768e+000	-3.425777e-005
5.632500000011884e-001	1.818470e+000	-3.870328e-005
5.666500000011956e-001	1.683564e+000	-4.066409e-005
5.687500000012000e-001	1.596941e+000	-4.186597e-005
5.695500000012017e-001	1.563286e+000	-4.232192e-005
5.709500000012047e-001	1.503531e+000	-4.311726e-005
5.720500000012070e-001	1.455821e+000	-4.373983e-005
5.730500000012091e-001	1.411879e+000	-4.430399e-005
5.738500000012108e-001	1.376343e+000	-4.475406e-005
5.745500000012123e-001	1.344976e+000	-4.514694e-005
5.752500000012137e-001	1.313361e+000	-4.553895e-005
5.758500000012150e-001	1.286072e+000	-4.587426e-005
